Youtuber,subscribers,video views,category,Title,uploads,Country,channel_type,country_rank,video_views_for_the_last_30_days,highest_monthly_earnings,subscribers_for_last_30_days,Gross tertiary education enrollment (%),Population,Unemployment rate,subscribers_for_last_30_days_missing,country_rank_missing,channel_age,views_per_subscriber,views_per_upload,earnings_spread,urban_ratio,subscriber_growth_rate
T-Series,1.0,0.9999999999999999,Music,T-Series,0.7853292722315561,India,Music,1.0,0.9511340769568142,0.9748657175477985,0.9088072776818376,28.1,0.9976791355194754,5.36,0,0,0.3076923076923077,0.8818167347073718,0.6727533936806496,0.9782089899706772,0.2050100546163604,0.027649712863932693
YouTube Movies,0.87784042651292,0.0,Film & Animation,youtubemovies,0.05494238558786014,United States,Games,7670.0,0.0854098901454222,0.0029703768700582948,0.7573396995666664,88.2,0.8515167182046919,14.7,1,0,0.3076923076923077,0.0,0.0,0.022909565372149096,0.7871914495325427,0.00399863696883235
MrBeast,0.8698814146138005,0.9203118126080613,Entertainment,MrBeast,0.5238907764287285,United States,Entertainment,1.0,0.9275956235188036,0.9437663264457214,0.9999999999999999,88.2,0.8515167182046919,14.7,0,0,0.19230769230769235,0.663839695816671,0.7230917411260119,0.9508787588406119,0.7871914495325427,0.16007207304052226
Cocomelon - Nursery Rhymes,0.8617282614544326,0.9874016710890203,Education,Cocomelon - Nursery Rhymes,0.5448840808088949,United States,Education,2.0,0.9450237466615397,0.9669292063850191,0.8632109370795048,88.2,0.8515167182046919,14.7,0,0,0.3076923076923077,0.8926633297104282,0.7847725553738412,0.971124064739868,0.7871914495325427,0.020928637927271412
SET India,0.8554801784670278,0.9834764740128793,Shows,SET India,0.9247038950888894,India,Entertainment,2.0,0.9413945146945467,0.9621203412566939,0.8632109370795048,28.1,0.9976791355194754,5.36,0,0,0.3076923076923077,0.8818451637199385,0.5820381318970493,0.9668373452641152,0.2050100546163604,0.021322284012497836
Music,0.7586172941961014,0.0,Entertainment,Music,0.0,Unknown,Music,-1.0,0.7885997468573448,0.0,0.7573396995666664,68.0,0.8515167182046919,9.02,1,1,0.17307692307692307,0.0,0.0,0.0,0.7871914495325427,0.005710933060814887
ýýý Kids Diana Show,0.7383527440229622,0.9658124654610265,People & Blogs,ýýý Kids Diana Show,0.5559587621584101,United States,Entertainment,3.0,0.8997139111820844,0.905917553928791,0.7573396995666664,88.2,0.8515167182046919,14.7,1,0,0.13461538461538464,0.8674733259940557,0.7555985950668588,0.9183821946372622,0.7871914495325427,0.006067552926869833
PewDiePie,0.735354852121108,0.9212296535141007,Gaming,PewDiePie,0.6704978573595548,Japan,Entertainment,1.0,0.7661525582221593,0.7282600980294611,0.7573396995666664,63.2,0.7535767983676296,2.29,1,0,0.23076923076923078,0.7185833897655816,0.6474423749283597,0.7636906289986152,0.899617702251325,0.006122167081813745
Like Nastya,0.7199483138881169,0.9646602333714697,People & Blogs,Like Nastya Vlog,0.491644642819498,Russia,People,5.0,0.776303792244823,0.7418218292206733,0.7117436549793702,81.9,0.7673429455374423,4.59,0,0,0.1153846153846154,0.8706844272285039,0.7879988942758218,0.7737183090042493,0.6916878398408963,0.0032068124026125395
Vlad and Niki,0.6967739287737507,0.95858145665563,Entertainment,Vlad and Niki,0.5036798226134332,United States,Entertainment,5.0,0.8891589351986432,0.8918053266518591,0.8296080224506922,88.2,0.8515167182046919,14.7,0,0,0.07692307692307693,0.8591361516027132,0.7751155120773482,0.9063001571530496,0.7871914495325427,0.020569978318184672
Zee Music Company,0.6892544097009567,0.9475622744510054,Music,Zee Music Company,0.7176321647728059,India,Music,3.0,0.9039931958742532,0.9119106475025457,0.8694805931248841,28.1,0.9976791355194754,5.36,0,0,0.15384615384615385,0.8249187219817506,0.6513323037001163,0.9234538328781279,0.2050100546163604,0.03846815771878081
WWE,0.6868259206153322,0.9587042754549295,Sports,WWE,0.8844462033008106,United States,Sports,6.0,0.89863738995454,0.905917553928791,0.8296080224506922,88.2,0.8515167182046919,14.7,0,0,0.2884615384615385,0.8633836230296036,0.5762417709641128,0.9172411157499897,0.7871914495325427,0.021189433552529897
Gaming,0.678363121610051,0.0,Entertainment,Gaming,0.0,Unknown,Games,-1.0,0.7885997468573448,0.0,0.7573396995666664,68.0,0.8515167182046919,9.02,1,1,0.17307692307692307,0.0,0.0,0.0,0.7871914495325427,0.007259062616184749
BLACKPINK,0.6645094673295491,0.9250896518192551,People & Blogs,BLACKPINK,0.4992868874393272,South Korea,Music,1.0,0.8822436777930782,0.8832965328346507,0.8397482946937163,94.3,0.6621159315066372,4.15,0,0,0.1153846153846154,0.7588081535168998,0.741141302613174,0.8979860314666973,0.7747075675040715,0.026407529853620514
Goldmines,0.6535366445308082,0.9141050360605097,Film & Animation,goldmines,0.05494238558786014,Unknown,Music,-1.0,0.10272591173206003,0.004119102444257344,0.7573396995666664,68.0,0.8515167182046919,9.02,1,1,0.3076923076923077,0.7260936607071953,0.9900257242372218,0.031480809852027364,0.7871914495325427,0.007818100235511546
Sony SAB,0.6381881619949308,0.9688663935848563,Shows,Sony SAB,0.8857277115292223,India,Entertainment,5.0,0.9370130009516018,0.95598328661451,0.8694805931248841,28.1,0.9976791355194754,5.36,0,0,0.2884615384615385,0.9163752855218239,0.5865783455369751,0.9618191747273935,0.2050100546163604,0.04477610458977965
5-Minute Crafts,0.6263001912000448,0.9173243941815142,Howto & Style,5-Minute Crafts 2.0,0.05494238558786014,United Kingdom,Entertainment,4797.0,0.0,0.0,0.7573396995666664,60.0,0.6884115861487217,3.85,1,0,0.038461538461538464,0.7473917234286431,0.9935124650707068,0.0025887146234688106,0.8016649953515966,0.008480988692368081
BANGTANTV,0.6069732650229964,0.9084949623357489,Music,BANGTANTV,0.6129418180276537,South Korea,Music,2.0,0.8326542951379612,0.8170060892910451,0.8029359086062672,94.3,0.6621159315066372,4.15,0,0,0.19230769230769235,0.7251405589429102,0.6637301206423468,0.8406006148875612,0.7747075675040715,0.01794669529912635
Sports,0.6043098030819518,0.0,Entertainment,sports,0.10988477117572028,United States,Entertainment,6266.0,0.09765071233687389,0.0035474489557763755,0.7573396995666664,88.2,0.8515167182046919,14.7,1,0,0.3076923076923077,0.0,0.0,0.02877470994864065,0.7871914495325427,0.00905693385347485
Justin Bieber,0.5888023401866667,0.923216834107469,Music,Justin Bieber,0.437659191677621,Canada,Music,1.0,0.8347827352525029,0.8198419534181095,0.7117436549793702,68.9,0.6277908648360833,5.56,0,0,0.2884615384615385,0.7816448170352488,0.7714007474125278,0.843163674981748,0.7912996805529158,0.004746477520130231
HYBE LABELS,0.5873988558093668,0.9206683046005784,Music,HYBE LABELS,0.5706240566785019,South Korea,Music,3.0,0.8905215649721869,0.8943963825052076,0.8562801545677377,94.3,0.6621159315066372,4.15,0,0,0.2692307692307693,0.7736092405802678,0.6990366731814968,0.9076991340914327,0.7747075675040715,0.04265992285162708
Zee TV,0.5836271632703367,0.9565250626881477,Entertainment,Zee TV,0.9328833781132928,India,Entertainment,6.0,0.938369514737866,0.9578007541208216,0.8562801545677377,28.1,0.9976791355194754,5.36,0,0,0.3269230769230769,0.8958176097426931,0.5485748309729059,0.9633612631023173,0.2050100546163604,0.04314095047108274
Pinkfong Baby Shark - Kids' Songs & Stories,0.5725402894250093,0.9323275294882676,Education,Pinkfong Baby Shark - Kids' Songs & Stories,0.6310035678648347,United States,Education,8.0,0.8798457164914819,0.8801737653739591,0.8296080224506922,88.2,0.8515167182046919,14.7,0,0,0.21153846153846156,0.8185761575726898,0.6801018462833086,0.8953143488096625,0.7871914495325427,0.029789066000220184
Canal KondZilla,0.5641026239351667,0.9302359753919488,Music,Canal KondZilla,0.6224552385381051,Brazil,Music,1.0,0.8772513959657419,0.0,0.7573396995666664,51.3,0.8069853740217376,12.08,1,0,0.19230769230769235,0.8147835914820637,0.6823043871529423,0.0,0.8326655367243903,0.010212860227738782
ChuChu TV Nursery Rhymes & Kids Songs,0.5610730318568544,0.9385918968618467,Education,ChuChu TV Nursery Rhymes & Kids Songs,0.5114223521764474,India,Education,7.0,0.8744174388891435,0.8734022802685291,0.8176146293679291,28.1,0.9976791355194754,5.36,0,0,0.17307692307692307,0.8440908054729397,0.749413848782824,0.8889715075938782,0.2050100546163604,0.02570605767492589
Shemaroo Filmi Gaane,0.5595478761870911,0.920686270820274,Music,Shemaroo Filmi Gaane,0.717204507749938,India,Music,8.0,0.8516098984652118,0.8410973129192562,0.8029359086062672,28.1,0.9976791355194754,5.36,0,0,0.23076923076923078,0.7843906792627411,0.6224475887535441,0.8623111626386512,0.2050100546163604,0.020674183896288414
Colors TV,0.5544131714670133,0.9499043859999647,Shows,Colors TV,0.9222019205386515,India,Entertainment,9.0,0.9218302668210281,0.9365956201774391,0.8694805931248841,28.1,0.9976791355194754,5.36,0,0,0.2692307692307693,0.8847688453895992,0.5469849624261357,0.9440802647862426,0.2050100546163604,0.05742255994921669
T-Series Bhakti Sagar,0.5352463652985273,0.9218498867534558,Music,T- SERIES BHAKTI SAGAR,0.2091851621975261,India,Music,5803.0,0.0777872518156372,0.002387782479540981,0.7573396995666664,28.1,0.9976791355194754,5.36,1,0,0.07692307692307693,0.7976638174637548,0.8921919098819755,0.019714465578442943,0.2050100546163604,0.011132193251575821
Dude Perfect,0.5269240423725297,0.8989862671781446,Sports,Dude Perfect,0.4729072609801083,United States,Sports,9.0,0.8246457535411417,0.8063172438129609,0.7117436549793702,88.2,0.8515167182046919,14.7,0,0,0.25000000000000006,0.7239586209290605,0.7266823435063752,0.8313207699324274,0.7871914495325427,0.005710933060814887
