Youtuber,subscribers,video views,category,Title,uploads,Country,channel_type,country_rank,video_views_for_the_last_30_days,highest_monthly_earnings,subscribers_for_last_30_days,Gross tertiary education enrollment (%),Population,Unemployment rate,subscribers_for_last_30_days_missing,country_rank_missing,channel_age,views_per_subscriber,views_per_upload,earnings_spread,urban_ratio,subscriber_growth_rate
T-Series,19.316768772590635,26.152611465905238,Music,T-Series,9.907628965036679,India,Music,1.0,21.53774530311675,16.012735246411598,14.508658238524095,28.1,21.035458374912988,5.36,0,0,17,6.836916681867514,16.245032383540412,18.436554102951174,0.34471999988372515,0.008130126083250212
YouTube Movies,18.951309000896888,0.0,Film & Animation,youtubemovies,0.6931471805599453,United States,Games,7670.0,2.5649493574615367,0.04879016416943201,12.206077645517674,88.2,19.609254155938732,14.7,1,0,17,0.0,0.0,0.4317824164255377,0.8245899991756934,0.0011757790890119962
MrBeast,18.927498352344912,24.068557262621617,Entertainment,MrBeast,6.60934924316738,United States,Entertainment,1.0,21.021887850178366,15.501909696719672,15.894952224644102,88.2,19.609254155938732,14.7,0,0,11,5.1468933529833505,17.460556663410486,17.921454272504192,0.8245899991756934,0.0470675108579858
Cocomelon - Nursery Rhymes,18.903106899369497,25.823132264776707,Education,Cocomelon - Nursery Rhymes,6.874198495453294,United States,Education,2.0,21.403834235805824,15.882373444019521,13.815511557963774,88.2,19.609254155938732,14.7,0,0,17,6.921012688893811,18.949968436448337,18.303022711732726,0.8245899991756934,0.006153865574378259
SET India,18.884414766473814,25.720478110717284,Shows,SET India,11.665964098131303,India,Entertainment,2.0,21.324297729146796,15.803385043104912,13.815511557963774,28.1,21.035458374912988,5.36,0,0,17,6.837137098176954,14.054523380986838,18.22222981742365,0.34471999988372515,0.006269613013595397
Music,18.594634059479166,0.0,Entertainment,Music,0.0,Unknown,Music,-1.0,17.975720900750336,0.0,12.206077645517674,68.0,19.609254155938732,9.02,1,1,10,0.0,0.0,0.0,0.8245899991756934,0.00167926151972
ýýý Kids Diana Show,18.53400943818794,25.25851815813025,People & Blogs,ýýý Kids Diana Show,7.013915474810528,United States,Entertainment,3.0,20.410845618900982,14.88022163978423,12.206077645517674,88.2,19.609254155938732,14.7,1,0,8,6.725709118609535,18.245502380394484,17.308983246130737,0.8245899991756934,0.0017841217935013983
PewDiePie,18.525040768285617,24.092561199224782,Gaming,PewDiePie,8.458928283284262,Japan,Entertainment,1.0,17.483779083694706,11.96209480994468,12.206077645517674,63.2,18.653589016816195,2.29,1,0,13,5.571333102939512,15.633845099828944,14.393471889756237,0.9172586867766221,0.0018001805041478658
Like Nastya,18.478949661510303,25.228384279973522,People & Blogs,Like Nastya Vlog,6.202535517187923,Russia,People,5.0,17.70624865846535,12.184854116317803,11.51293546492023,81.9,18.78791449892918,4.59,0,0,7,6.750605483957205,19.027875111368555,14.582466130093874,0.7458700031137978,0.0009429515078703075
Vlad and Niki,18.409619806704164,25.069408394336175,Entertainment,Vlad and Niki,6.354370040797351,United States,Entertainment,5.0,20.17952782901376,14.648420115681892,13.304686600863562,88.2,19.609254155938732,14.7,0,0,5,6.661069194652179,18.7167790054408,17.081270006899263,0.8245899991756934,0.006048405535880656
Zee Music Company,18.387123970764783,24.781228003466612,Music,Zee Music Company,9.053569596026234,India,Music,3.0,20.504628369221173,14.978661680269907,13.910821646859095,28.1,21.035458374912988,5.36,0,0,9,6.395774030500164,15.727775534755667,17.404569704420307,0.34471999988372515,0.011311174581523009
WWE,18.379858759848776,25.072620426674966,Sports,WWE,11.158077422658591,United States,Sports,6.0,20.387253096140824,14.88022163978423,13.304686600863562,88.2,19.609254155938732,14.7,0,0,16,6.694000763209788,13.914558169444641,17.287477041570536,0.8245899991756934,0.006230549750636074
Gaming,18.354540952131583,0.0,Entertainment,Gaming,0.0,Unknown,Games,-1.0,17.975720900750336,0.0,12.206077645517674,68.0,19.609254155938732,9.02,1,1,10,0.0,0.0,0.0,0.8245899991756934,0.0021344725286326274
BLACKPINK,18.313095544408284,24.193510235158538,People & Blogs,BLACKPINK,6.298949246855942,South Korea,Music,1.0,20.02797636531872,14.508658238524095,13.45883704259595,94.3,17.761144320124682,4.15,0,0,7,5.8832044334454245,17.89640093208591,16.924571561468124,0.8143000096424038,0.007764875397726519
Goldmines,18.2802686017431,23.90623384711781,Film & Animation,goldmines,0.6931471805599453,Unknown,Music,-1.0,2.9444389791664403,0.06765864847381481,12.206077645517674,68.0,19.609254155938732,9.02,1,1,17,5.629561864841047,23.90623384711781,0.5933268452777344,0.8245899991756934,0.0022988515871107573
Sony SAB,18.234351177809064,25.33838635379757,Shows,Sony SAB,11.174244791546633,India,Entertainment,5.0,21.228274575994337,15.702580358511794,13.910821646859095,28.1,21.035458374912988,5.36,0,0,16,7.104856632726919,14.164156298935069,18.127651078578815,0.34471999988372515,0.013165959182304447
5-Minute Crafts,18.198786424522982,23.990428469226046,Howto & Style,5-Minute Crafts 2.0,0.6931471805599453,United Kingdom,Entertainment,4797.0,0.6931471805599453,0.0,12.206077645517674,60.0,18.0177285657893,3.85,1,0,3,5.794690371230811,23.990428469226046,0.04879016416943201,0.8365199929587164,0.002493766878402452
BANGTANTV,18.140966854377275,23.759515768699057,Music,BANGTANTV,7.732807530422021,South Korea,Music,2.0,18.94119924563138,13.419799226740347,12.899222326086994,94.3,17.761144320124682,4.15,0,0,11,5.622172259841181,16.027146655887975,15.843013992146105,0.8143000096424038,0.005277057100843765
Sports,18.132998684833918,0.0,Entertainment,sports,1.3862943611198906,United States,Entertainment,6266.0,2.833213344056216,0.058268908123975775,12.206077645517674,88.2,19.609254155938732,14.7,1,0,17,0.0,0.0,0.5423242908253616,0.8245899991756934,0.0026631174194837
Justin Bieber,18.086605645897354,24.14453116119573,Music,Justin Bieber,5.521460917862246,Canada,Music,1.0,18.987845118059276,13.466379941031647,11.51293546492023,68.9,17.42621174442237,5.56,0,0,16,6.060262046010021,18.627078272833444,15.891320638864826,0.827976257881404,0.0013956736389747434
HYBE LABELS,18.08240689940977,24.077880459192624,Music,HYBE LABELS,7.198931240688173,South Korea,Music,3.0,20.209390569407027,14.690979711984754,13.710151153416941,94.3,17.761144320124682,4.15,0,0,15,5.997960476362772,16.879696928747578,17.10763688174679,0.8143000096424038,0.012543718478530292
Zee TV,18.071123281966894,25.01562832188378,Entertainment,Zee TV,11.769155569272227,India,Entertainment,6.0,21.25800328134454,15.732433317205148,13.710151153416941,28.1,21.035458374912988,5.36,0,0,18,6.945468507118932,13.246482258817611,18.156715211138735,0.34471999988372515,0.012685159527315732
Pinkfong Baby Shark - Kids' Songs & Stories,18.037955137476448,24.382799637673973,Education,Pinkfong Baby Shark - Kids' Songs & Stories,7.960672608388117,United States,Education,8.0,19.97542379585854,14.45736497045232,13.304686600863562,88.2,19.609254155938732,14.7,0,0,12,6.346598750980755,16.42247608225741,16.87421767762801,0.8245899991756934,0.008759180089881562
Canal KondZilla,18.012712520663676,24.328100036033025,Music,Canal KondZilla,7.8528278122817445,Brazil,Music,1.0,19.918567911845663,0.0,12.206077645517674,51.3,19.17473212136165,12.08,1,0,11,6.317194162304298,16.475661020586024,0.0,0.8620725611041735,0.0030030052597695782
